Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Date Frozen,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1,1,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 1,, ,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_2,2,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 1,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_3,3,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 1,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_4,4,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 2,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,VLM,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_5,5,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 2,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_6,6,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 2,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_7,7,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 3,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_8,8,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 3,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_9,9,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 3,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_10,10,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 4,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_11,11,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 4,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_12,12,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 4,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_13,13,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 5,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_14,14,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 5,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_15,15,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 5,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_16,16,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 6,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_17,17,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 6,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_18,18,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 6,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_19,19,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 7,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_20,20,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 7,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_21,21,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 7,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_22,22,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 8,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_23,23,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 8,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_24,24,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 8,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_25,25,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 9,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_26,26,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 9,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_27,27,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 9,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_28,28,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 14,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,Duplicate,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
