Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1,1,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 1,NA, ,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_2,2,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 1,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_3,3,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 1,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_4,4,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 2,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,Variance,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_5,5,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 2,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_6,6,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 2,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_7,7,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 3,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_8,8,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 3,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_9,9,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 3,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_10,10,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 4,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_11,11,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 4,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_12,12,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 4,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_13,13,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 5,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_14,14,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 5,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_15,15,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 5,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_16,16,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 6,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_17,17,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 6,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
